id	family	order
FBti0061931	gypsy8	ltr
FBti0061932	gypsy8	ltr
FBti0061935	gypsy8	ltr
FBti0061939	rt1a	non-ltr
FBti0062275	ine-1	helitron
FBti0062276	ine-1	helitron
FBti0062277	ine-1	helitron
FBti0062278	ine-1	helitron
FBti0062281	h	tir
FBti0062288	gypsy3	ltr
FBti0062291	gypsy5	ltr
FBti0062300	jockey	non-ltr
FBti0062301	x	non-ltr
FBti0062302	ine-1	helitron
FBti0062303	ine-1	helitron
FBti0062305	ine-1	helitron
FBti0062306	ine-1	helitron
FBti0062307	ine-1	helitron
FBti0062308	ine-1	helitron
FBti0062309	1360	tir
FBti0062310	ine-1	helitron
FBti0062311	fb	foldback
FBti0062316	ine-1	helitron
FBti0062317	ine-1	helitron
FBti0062319	ine-1	helitron
FBti0062320	ine-1	helitron
FBti0062321	ine-1	helitron
FBti0062322	ine-1	helitron
FBti0062323	ine-1	helitron
FBti0062324	ine-1	helitron
FBti0062325	ine-1	helitron
FBti0062326	ine-1	helitron
FBti0062327	ine-1	helitron
FBti0062330	rt1a	non-ltr
FBti0062331	ine-1	helitron
FBti0062332	ine-1	helitron
FBti0062333	doc2	non-ltr
FBti0062334	ine-1	helitron
FBti0062335	transib1	tir
FBti0062336	ine-1	helitron
FBti0062337	rooa	ltr
FBti0062338	ine-1	helitron
FBti0062339	ine-1	helitron
FBti0062340	ninja-dsim-like	ltr
FBti0062341	ine-1	helitron
FBti0062342	ninja-dsim-like	ltr
FBti0062343	ine-1	helitron
FBti0062344	ninja-dsim-like	ltr
FBti0062345	ine-1	helitron
FBti0062346	ine-1	helitron
FBti0062357	ninja-dsim-like	ltr
FBti0062359	ninja-dsim-like	ltr
FBti0062360	ine-1	helitron
FBti0062362	gypsy2	ltr
FBti0062363	ine-1	helitron
FBti0062365	gypsy3	ltr
FBti0062366	ine-1	helitron
FBti0062368	3s18	ltr
FBti0062369	ine-1	helitron
FBti0062371	fw3	non-ltr
FBti0062372	ine-1	helitron
FBti0062373	ine-1	helitron
FBti0062375	ine-1	helitron
FBti0062376	ine-1	helitron
FBti0062377	ine-1	helitron
FBti0062378	ine-1	helitron
FBti0062380	ine-1	helitron
FBti0062381	f	non-ltr
FBti0062389	ine-1	helitron
FBti0062390	ine-1	helitron
FBti0062392	ine-1	helitron
FBti0062393	opus	ltr
FBti0062395	ine-1	helitron
FBti0062396	springer	ltr
FBti0062397	ine-1	helitron
FBti0062398	ine-1	helitron
FBti0062399	doc	non-ltr
FBti0062400	ine-1	helitron
FBti0062401	doc	non-ltr
FBti0062402	ine-1	helitron
FBti0062403	ine-1	helitron
FBti0062404	ine-1	helitron
FBti0062405	ine-1	helitron
FBti0062407	ine-1	helitron
FBti0062408	g4	non-ltr
FBti0062409	ine-1	helitron
FBti0062421	g5a	non-ltr
FBti0062422	ine-1	helitron
FBti0062424	ine-1	helitron
FBti0062425	ine-1	helitron
FBti0062427	ine-1	helitron
FBti0062429	ine-1	helitron
FBti0062430	ine-1	helitron
FBti0062431	ine-1	helitron
FBti0062432	ine-1	helitron
FBti0062433	bs3	non-ltr
FBti0062434	1360	tir
FBti0062449	ine-1	helitron
FBti0062452	ine-1	helitron
FBti0062455	ine-1	helitron
FBti0062457	ine-1	helitron
FBti0062458	doc4	non-ltr
FBti0062460	ine-1	helitron
FBti0062463	ine-1	helitron
FBti0062466	ine-1	helitron
FBti0062467	cr1a	non-ltr
FBti0062469	ine-1	helitron
FBti0062470	ine-1	helitron
FBti0062471	ine-1	helitron
FBti0062472	cr1a	non-ltr
FBti0062473	cr1a	non-ltr
FBti0062487	ine-1	helitron
FBti0062490	ine-1	helitron
FBti0062493	ine-1	helitron
FBti0062494	ine-1	helitron
FBti0062497	ine-1	helitron
FBti0062500	ine-1	helitron
FBti0062503	ine-1	helitron
FBti0062505	ine-1	helitron
FBti0062506	ine-1	helitron
FBti0062507	ine-1	helitron
FBti0062508	g5	non-ltr
FBti0062523	mcclintock	ltr
FBti0062527	tc1-2	tir
FBti0062529	f	non-ltr
FBti0062530	tc1-2	tir
FBti0062532	gtwin	ltr
FBti0062537	rt1c	non-ltr
FBti0062538	rt1c	non-ltr
FBti0062540	ine-1	helitron
FBti0062541	ine-1	helitron
FBti0062559	pogo	tir
FBti0062560	springer	ltr
FBti0062561	ine-1	helitron
FBti0062562	ine-1	helitron
FBti0062563	ine-1	helitron
FBti0062564	ine-1	helitron
FBti0062565	ine-1	helitron
FBti0062574	s	tir
FBti0062576	g4	non-ltr
FBti0062582	h	tir
FBti0062587	rt1b	non-ltr
FBti0062588	rt1b	non-ltr
FBti0062589	rt1b	non-ltr
FBti0062592	ine-1	helitron
FBti0062599	tabor	ltr
FBti0062602	quasimodo	ltr
FBti0062604	quasimodo	ltr
FBti0062607	1360	tir
FBti0062612	1360	tir
FBti0062614	1360	tir
FBti0062615	gypsy2	ltr
FBti0062616	ine-1	helitron
FBti0062617	ine-1	helitron
FBti0062618	ine-1	helitron
FBti0063005	ine-1	helitron
FBti0063006	ine-1	helitron
FBti0063007	opus	ltr
FBti0063009	ine-1	helitron
FBti0063016	ine-1	helitron
FBti0063017	ine-1	helitron
FBti0063018	ine-1	helitron
FBti0063025	rt1c	non-ltr
FBti0063026	ine-1	helitron
FBti0063028	ine-1	helitron
FBti0063030	g5a	non-ltr
FBti0063031	tc1-2	tir
FBti0063032	ine-1	helitron
FBti0063033	ine-1	helitron
FBti0063034	ine-1	helitron
FBti0063040	max	ltr
FBti0063041	gypsy12	ltr
FBti0063047	gypsy12	ltr
FBti0063048	gypsy12	ltr
FBti0063049	gypsy12	ltr
FBti0063050	gypsy12	ltr
FBti0063051	gypsy12	ltr
FBti0063052	gypsy12	ltr
FBti0063053	gypsy12	ltr
FBti0063054	invader6	ltr
FBti0063057	doc4	non-ltr
FBti0063060	1360	tir
FBti0063061	1360	tir
FBti0063063	r1	non-ltr
FBti0063064	diver2	ltr
FBti0063065	1360	tir
FBti0063066	tc1	tir
FBti0063067	tart-a	non-ltr
FBti0063069	ine-1	helitron
FBti0063070	cr1a	non-ltr
FBti0063071	ine-1	helitron
FBti0063073	ine-1	helitron
FBti0063083	cr1a	non-ltr
FBti0063084	gypsy8	ltr
FBti0063086	cr1a	non-ltr
FBti0063087	gypsy8	ltr
FBti0063089	cr1a	non-ltr
FBti0063090	cr1a	non-ltr
FBti0063092	cr1a	non-ltr
FBti0063094	g	non-ltr
FBti0063095	accord2	ltr
FBti0063096	g5	non-ltr
FBti0063098	tc1-2	tir
FBti0063099	fw2	non-ltr
FBti0063100	ine-1	helitron
FBti0063103	1360	tir
FBti0063105	tc1-2	tir
FBti0063110	micropia	ltr
FBti0063113	3s18	ltr
FBti0063115	q	non-ltr
FBti0063116	ine-1	helitron
FBti0063118	invader2	ltr
FBti0063119	transib2	tir
FBti0063120	ine-1	helitron
FBti0063121	transib2	tir
FBti0063122	ine-1	helitron
FBti0063123	ine-1	helitron
FBti0063125	transib2	tir
FBti0063126	rt1c	non-ltr
FBti0063127	1360	tir
FBti0063128	rt1c	non-ltr
FBti0063129	ine-1	helitron
FBti0063132	fb	foldback
FBti0063133	ine-1	helitron
FBti0063134	ine-1	helitron
FBti0063136	fb	foldback
FBti0063137	ine-1	helitron
FBti0063138	hb	tir
FBti0063139	ine-1	helitron
FBti0063141	ine-1	helitron
FBti0063142	ine-1	helitron
FBti0063143	ine-1	helitron
FBti0063144	ine-1	helitron
FBti0063147	baggins	non-ltr
FBti0063148	baggins	non-ltr
FBti0063149	ine-1	helitron
FBti0063151	baggins	non-ltr
FBti0063152	ine-1	helitron
FBti0063153	mariner2	tir
FBti0063154	ine-1	helitron
FBti0063156	max	ltr
FBti0063157	ine-1	helitron
FBti0063160	ine-1	helitron
FBti0063163	max	ltr
FBti0063165	ine-1	helitron
FBti0063166	gypsy12	ltr
FBti0063167	ine-1	helitron
FBti0063168	ine-1	helitron
FBti0063176	gypsy12	ltr
FBti0063177	ine-1	helitron
FBti0063178	gypsy12	ltr
FBti0063179	ine-1	helitron
FBti0063180	invader6	ltr
FBti0063181	ine-1	helitron
FBti0063183	ine-1	helitron
FBti0063184	ine-1	helitron
FBti0063185	ine-1	helitron
FBti0063186	ine-1	helitron
FBti0063187	ine-1	helitron
FBti0063188	diver2	ltr
FBti0063189	ine-1	helitron
FBti0063190	ine-1	helitron
FBti0063196	ine-1	helitron
FBti0063197	tc3	tir
FBti0063198	ine-1	helitron
FBti0063199	tc3	tir
FBti0063201	ine-1	helitron
FBti0063202	tc3	tir
FBti0063203	ine-1	helitron
FBti0063204	doc3	non-ltr
FBti0063205	ine-1	helitron
FBti0063207	ine-1	helitron
FBti0063209	ine-1	helitron
FBti0063210	g6	non-ltr
FBti0063211	ine-1	helitron
FBti0063212	gypsy8	ltr
FBti0063213	ine-1	helitron
FBti0063214	gypsy8	ltr
FBti0063215	ine-1	helitron
FBti0063226	gypsy8	ltr
FBti0063229	gypsy8	ltr
FBti0063232	hms-beagle2	ltr
FBti0063235	rt1a	non-ltr
FBti0063238	rt1a	non-ltr
FBti0063240	doc2	non-ltr
FBti0063241	rooa	ltr
FBti0063242	rooa	ltr
FBti0063243	ninja-dsim-like	ltr
FBti0063252	gypsy2	ltr
FBti0063255	gypsy2	ltr
FBti0063257	tom1	ltr
FBti0063259	accord2	ltr
FBti0063260	gypsy9	ltr
FBti0063262	fw2	non-ltr
FBti0063264	gypsy10	ltr
FBti0063265	gypsy10	ltr
FBti0063266	gypsy3	ltr
FBti0063267	fw3	non-ltr
FBti0063276	zam	ltr
FBti0063279	q	non-ltr
FBti0063282	jockey	non-ltr
FBti0063284	ine-1	helitron
FBti0063679	ine-1	helitron
FBti0063681	ine-1	helitron
FBti0063682	ine-1	helitron
FBti0063683	ine-1	helitron
FBti0063684	ine-1	helitron
FBti0063685	ine-1	helitron
FBti0063686	ine-1	helitron
FBti0063687	ine-1	helitron
FBti0063696	ine-1	helitron
FBti0063698	ine-1	helitron
FBti0063699	ine-1	helitron
FBti0063701	ine-1	helitron
FBti0063702	ine-1	helitron
FBti0063703	ine-1	helitron
FBti0063704	ine-1	helitron
FBti0063705	ine-1	helitron
FBti0063706	ine-1	helitron
FBti0063708	ine-1	helitron
FBti0063709	ine-1	helitron
FBti0063713	ine-1	helitron
FBti0063715	ine-1	helitron
FBti0063717	ine-1	helitron
FBti0063718	ine-1	helitron
FBti0063720	max	ltr
FBti0063728	rt1b	non-ltr
FBti0063739	1360	tir
FBti0063740	1360	tir
FBti0063741	1360	tir
FBti0063742	cr1a	non-ltr
FBti0063743	hopper2	tir
FBti0063744	fb	foldback
FBti0063745	ine-1	helitron
FBti0063751	hb	tir
FBti0063754	hb	tir
FBti0063757	hb	tir
FBti0063758	hopper2	tir
FBti0063759	baggins	non-ltr
FBti0063760	ine-1	helitron
FBti0063767	diver2	ltr
FBti0063772	ine-1	helitron
FBti0063787	q	non-ltr
FBti0063791	ine-1	helitron
FBti0063797	i	non-ltr
FBti0063809	jockey	non-ltr
FBti0063810	jockey	non-ltr
FBti0063812	ine-1	helitron
FBti0063814	ine-1	helitron
FBti0063816	ine-1	helitron
FBti0063819	ine-1	helitron
FBti0063821	ine-1	helitron
FBti0063822	ine-1	helitron
FBti0063823	ine-1	helitron
FBti0063824	ine-1	helitron
FBti0063831	ine-1	helitron
FBti0063834	ine-1	helitron
FBti0063837	ine-1	helitron
FBti0063839	ine-1	helitron
FBti0063841	ine-1	helitron
FBti0063843	ine-1	helitron
FBti0063844	ine-1	helitron
FBti0063845	ine-1	helitron
FBti0063846	ine-1	helitron
FBti0063847	ine-1	helitron
FBti0063853	ine-1	helitron
FBti0063854	ine-1	helitron
FBti0063857	ine-1	helitron
FBti0063858	ine-1	helitron
FBti0063859	ine-1	helitron
FBti0063861	ine-1	helitron
FBti0063862	ine-1	helitron
FBti0063863	ine-1	helitron
FBti0063864	ine-1	helitron
FBti0063982	ine-1	helitron
FBti0063983	ine-1	helitron
FBti0063984	ine-1	helitron
FBti0063985	ine-1	helitron
FBti0063986	ine-1	helitron
FBti0063987	ine-1	helitron
FBti0063988	ine-1	helitron
FBti0063989	ine-1	helitron
FBti0064007	ine-1	helitron
FBti0064008	ine-1	helitron
FBti0064009	ine-1	helitron
FBti0064010	ine-1	helitron
FBti0064011	ine-1	helitron
FBti0064012	ine-1	helitron
FBti0064029	mdg3	ltr
FBti0064030	opus	ltr
FBti0064031	pogo	tir
FBti0064032	mdg1	ltr
FBti0064047	mdg1	ltr
FBti0064051	doc	non-ltr
FBti0064056	hms-beagle	ltr
FBti0064059	bs	non-ltr
FBti0064061	tirant	ltr
FBti0064077	g4	non-ltr
FBti0064078	tabor	ltr
FBti0064080	tabor	ltr
FBti0064081	1360	tir
FBti0064083	1360	tir
FBti0064097	1360	tir
FBti0064100	cr1a	non-ltr
FBti0064119	cr1a	non-ltr
FBti0064123	cr1a	non-ltr
FBti0064125	cr1a	non-ltr
FBti0064127	cr1a	non-ltr
FBti0064136	g	non-ltr
FBti0064138	jockey2	non-ltr
FBti0064140	gtwin	ltr
FBti0064142	gtwin	ltr
FBti0064145	invader2	ltr
FBti0064149	invader3	ltr
FBti0064151	invader3	ltr
FBti0064168	stalker4	ltr
FBti0064169	gate	ltr
FBti0064183	max	ltr
FBti0064236	ine-1	helitron
FBti0064237	ine-1	helitron
FBti0064244	ine-1	helitron
FBti0064246	copia	ltr
FBti0064253	1360	tir
FBti0064254	g5a	non-ltr
FBti0064256	cr1a	non-ltr
FBti0064257	g5	non-ltr
FBti0064268	17.6	ltr
FBti0064269	ine-1	helitron
FBti0064270	ine-1	helitron
FBti0064271	ine-1	helitron
FBti0064272	ine-1	helitron
FBti0064274	ine-1	helitron
FBti0064275	ine-1	helitron
FBti0064277	ine-1	helitron
FBti0064278	ine-1	helitron
FBti0064279	ine-1	helitron
FBti0064283	ine-1	helitron
FBti0064284	ine-1	helitron
FBti0064285	tc3	tir
FBti0064287	ine-1	helitron
FBti0064288	ine-1	helitron
FBti0064289	ine-1	helitron
FBti0064291	ine-1	helitron
FBti0064293	ine-1	helitron
FBti0064295	ine-1	helitron
FBti0064296	ine-1	helitron
FBti0064300	ine-1	helitron
FBti0064302	ine-1	helitron
FBti0064304	ine-1	helitron
FBti0064305	ine-1	helitron
FBti0064306	ine-1	helitron
FBti0064309	1360	tir
FBti0064310	doc3-element	non-ltr
FBti0131273	xanthias	ltr
